id,documents
354cd8e7696ec21da065a1f2433be23b:77-78,0-1bkMDn-08 ChjTaYIFWGM HcbAxDzwEBY PT5JzPy2IsA SXP0qkJVSTg XQX80w1utX4 ncqgAEnPcCY
354cd8e7696ec21da065a1f2433be23b:90-91,HglJtp0R9S8 XY37m9R5j80 ZxGxvJnWksQ e2SFvO_-7Xw m_5PsvfADzA zkYAe7-ayBw
e3c8a8aa4050f271c7f559e8f6dc6430:35-38,0
e3c8a8aa4050f271c7f559e8f6dc6430:1890-1893,0
7081aad9b5a5469b81a2edfbe0564cdc:14-15,0
6741f26fbd047dce786f26fbb78c0bca:300-307,0
6741f26fbd047dce786f26fbb78c0bca:489-491,0
2804b10a6dbf3d5c8de9a97082e9e1cd:533-539,-DzUaOcUZSE -KJVkzlfsMA -MmRGsGnKSI -a9-44nglKw -lMJgo6yD8c -oZE1Nkyt3o -rESAK987SU -yxA0EX8n2U 01qI8yycKjU 0BA9nh5KOos 0Mw0Fl929OY 0SZFUM1dSWA 0ZKDCZ9ILSA 0o2s1B3oL4w 0pIDFWl8AIE 0rzS4SrYP6U 1BbcJmMRHdQ 1YI8S1eQn94 1_OhKC4q_E8 1jq3vS1t1mY 1m0nP4eL38g 2JD9PlJaFsk 2Og02lODbSw 2Qjhbplhgzg 2a2DC5ho98w 2go3KwMSddM 388u192gWVo 3ltwDN3_l4Y 47MDMwI0EdM 4DzLDqwqgu0 4UCXOGAQoxE 4YrpfcVQEqY 4qftYLuzuyI 55IjpAKzOgQ 5E12U93kApA 5IVXZoou-3w 5SR3Qt3iWwg 5fEBvUJKnaI 61a6FfN9F5E 64Fne6ZPAb4 6JZrTAHjnLw 6Lrs_Mhq9K0 6Pi8_i6j6bA 6RLefsd22so 6chlSH1lDYY 6kjesYphp9Q 76Px2IsGJck 7FFv_L9EdBc 7GT6LujcEJw 7MhODBdIylc 7rehP6zsLRs 7zqwfpQweSw 8119q7Z-WuA 87EWgm1IcX8 8eUTYBJsE9s 9Bgz-ro_wrA 9UfkPej4KN0 9VzEduPOdJw 9dYkCMug9XQ 9eVAe6sIN4g 9f4kXJLrbmM ACBUmcrLToQ APLrZ47wIGY AY4f6bX8NyQ Ay2TKlcdmOU AzrADWia-vI B5Zk2eS2_Y4 BFoLXRR3fSs B_WE411JkGk BosZ_MbXYn8 BsRDWIopAHg BsdBsMCUddc CYCWiXkY4KA CYOzFqC2pFI CflzHX5unCg Cfp716vQ-D4 ChF5eosq4o4 CxxQn1xEDu0 DZQpPhV6aYk Dgh8tW4eIbA EFdmu64F4jc EzekCY83keI F09GRm8opQ4 F2A6zAmrFI0 Fq_0C9Z4CPU Fw9BkXcTEgE G7RF_ZDCh18 GMBe4XF6MYc GXLlfOW8KQU GcWBrxh6JwQ GhOAaKZu15U GpAYbKXz2Jk GplKKlACR2g HIkfSWGa3pQ HU2YOLZPem4 HnsQ8e34X20 HpgDUKVD9Vk I3vD8DUvlY0 I99GXx5P0oc IBd3phDgNaY IKvTIT4G4vM IWdKpnlDpdM IYNvRRt1C0M Ifkhgdz9n-w In_MV8K4vZ4 IsaAZpemuDQ J69Du3K6P2Q JPwGkmGFqSo JsBwjTtwwyU K5lbdBGCwPs KHpwWGvT_a0 KeijtgkQiVg Kg_joDAZ_cY KunedSklg5U LDm7Qv0RlsU LOo_T9kdVfs LbOg20U1rOU LbfCocU06Kg LkxNXqjg2Fk Lp8IieSz2yw M46BIFKmyow MG7RhmmqQRU MIuMQDw1KuM MMuJfh-umdg Mcx8xc79hm0 N5AJZ8HxOY4 N9H6BCJaaxU NRhksUvvC7s NcPUrtm8cZA Nd-Aiz5iPPg Nh5KWhArtUA NkF8WbTuGMU Nsfqn7-MgY4 NwFiwghHpbg O3cesgFQyyQ OGIMEQq8HNs O_erV79tp3I OdgpcTSfQ0o OwP530JOpKc OxhBgEj0SU0 OzK7jGEQIcE P-rnC3NzowM P0kiKHl5fvg P_P3ozqvSaQ PaCzDj1sW-4 Pnd1rJbC0mc PqgjsfQfbc0 QyBpPFgatq4 R-fbu5X14MM RBvDUUurxU4 RTchzfeqSr8 RuERra9CJHo S-hNraI9-fg SC7zDgleXYA SHMqv0dX4xI T2dqRaszDSc TYb7pJD9_ts TqnqJmWMiGU U6qtZcktn6Y UYwvy6XFI-w VC4_54KeqG8 VHfwswcyFDQ VeYxR3dBIZU Vfe2QhuoKko Vllqa51pSg0 VsbjEh9nDSI W7akF019Z0k WTvYAWYeCxc Wr7WlvjgAx4 WtMaWg36i68 X5ZxWYZcHgM XFZU9J8C6Fk XJHbx4gMFHk XNuiyXGX0F8 XPWnmccMddI XUwxKX0YGLI XdEUiqkxy2Y Xj0O_tJRsKs XkRzY00pcnM Y6PDECX6t34 YAtU1lb1sRk YKwj0l3eWBw YT_Dku-5QuI Yn4oOCm8Owg ZEhf2DKFngU ZVdRCT4Exos ZW4UYs4NNV8 Zc1JZFeylNM ZcCKQw4XneM ZzalbNFszUY _0dgcmLArUs _4SCaZHao_s _FrM7vZeZ08 _LSMZLu8vko _bgSATcBPGY a5nl0xu3QRM azgZq6LeGsE b31vbic2AWI bCJQjG9uWi0 bEqfHL_abRY bQtut4kDx7w biMO6XJ-ny0 bjDrTqCww98 c5V6skL0_eA cBzxvbUjDsA cIOFCaF5WWY ca_tE1EwTvs cxZiXDw_9DA d2eiQixBMN8 dVv__X67WhY dZ8seE17_-w dbxKSqizMwo dhvupREWq9E dkyAjAT9ipo ecsiO0nJKqI edrOX5AgsHU eqHX4QAciW4 f--yrdTt6Uw fOFoXbWMW_4 fXt8BsLt6dM feen61K2D8Y ftCDj555TKc ftslhHEVGFs fuTmmEUv0K4 gAL0CJmpW4g gBD4GRXE4dY h1axpv0lucI h9XyZpR-t2Y hkzOpELshaI hlsDQ1nL0hU hxhzHx0fjhg hz112FR5mGc i0bfAMEfvrI iUtplGfX5H4 iiXq1xvDG9o jDRRO8UJMbI jaokk4DZjHs jddnCFYsr0o k4LmuNh61bE kSmndJ1tHRE kXfF1HyAFGA kmI8Db2jzgA kn7cC8M5FOg l0hFfB1DYAo l399kp1FEm4 mQ3ntYjCMY8 mb-dzCO8HTE mg-Uvfkgbhw mi6LpBgW2z8 moC7kiwtP38 mqSbX7jNU-8 mvwJXz1DVk4 my4Vzc-TlDA n000VoSFEFk n3_Mij9vD8E n8cPuidnKI8 nBRL7XVd5Mk npWq6_z5Bpo oBYHZXUMUMg oCWpraIHvpA oLnF-5wpJos oQgdCtSayAU ovkQ7OYWgFQ pP14ZtPlfVs pkGE296y-gI pkoGEe6djuA pslOxqaYZrM qAxtDlC_z4c qcWEb1LcpkQ qs_xNDAtMZ0 qtmg_kxHhNU qxmKvU29_d0 rWuw29S1TwA rhVE7CURmnQ rj0Hg1hpgl4 roGb8p61th4 si2IxEzs2TE so-5AAU-BLA spEL-U_oVmU sp_HYmrQe_Q t6NqZCbC2VE tB3tw9pQn6k tCz2ql5t3kc tNHWagPFYSo tPADKM8Mpy0 tU7ohQdYlno tUaC_epmPFc thZs6v5sIZ4 uGK1rzbvvAo uSiH677wzpA ubPNuvbCLtE vLUoldjg-NY vReyDP-4vtA vSjZzlbpkU4 vVndcPEc87w vcTdZUNx950 vdYQ4brWOcI voo2F-jTk3o vtLOLQokupQ vuF55BX_Bjg vyY6zJNQPvM w8Qeg7n36GU wBOweL0b4HY wFAOXMGRfDs wY-xqALaZpw wlcZAuUXIQY xMdaXokU-as xZrb95v5mm0 xnrwhXOAgGM xrCcyRnQ1BA xuNAGwesHrM y-y4G--5b4Y y8tVfve0Goo yCF6mVSKrlw yXhsO_tT1iE ymRw3QDXhMc ysClWzjyFIM z0G90yS4KtA zIBcpjsXd1E zYkeAZISJsw zvnFCZLIL_Y
2804b10a6dbf3d5c8de9a97082e9e1cd:576-580,0
2804b10a6dbf3d5c8de9a97082e9e1cd:595-597,0
2804b10a6dbf3d5c8de9a97082e9e1cd:914-917,0
2804b10a6dbf3d5c8de9a97082e9e1cd:976-978,0
2804b10a6dbf3d5c8de9a97082e9e1cd:1146-1153,0
306b9a7e5e771f8e02d0d1f929de1e27:270-272,0
8c74d689237ba63c725893832f3e775f:165-166,0
fc1a7afc89a265b7aab8a9990ed1d0aa:30-30,0
fc1a7afc89a265b7aab8a9990ed1d0aa:34-34,GgWmdwHrezg Sfi76xevr7I Z_odvAXfBFk dmtuoDX3A_Y fRAAkPEa6uk
fc1a7afc89a265b7aab8a9990ed1d0aa:62-62,0
fc1a7afc89a265b7aab8a9990ed1d0aa:95-95,0
fc1a7afc89a265b7aab8a9990ed1d0aa:121-121,0
fc1a7afc89a265b7aab8a9990ed1d0aa:139-139,0
fc1a7afc89a265b7aab8a9990ed1d0aa:160-160,GgWmdwHrezg Sfi76xevr7I Z_odvAXfBFk dmtuoDX3A_Y fRAAkPEa6uk
fc1a7afc89a265b7aab8a9990ed1d0aa:171-171,0
05489f0c3b90648d6a35fd4e2a68f024:40-41,0
05489f0c3b90648d6a35fd4e2a68f024:53-53,0GJyDi2Q1RQ 0zx89bx-_BY 3rrJftIDq4w 97yqEYPCkXI An8lidVHXqI EM8vlCIBvi8 ER4mXOa2NSg JciGGIutTUs MbzJuL8BGqE SeP5LUGMjtk T3ZqHLPL-Sg VKjdAJa1mt0 XZdVbrnnSa8 dFuWTPKsRk0 frc1eJnFPqo kfjao_MwaIs q6eHXSyFfuo sSXO6pE1_AA yAltiR1V-8Y
05489f0c3b90648d6a35fd4e2a68f024:55-55,0
05489f0c3b90648d6a35fd4e2a68f024:58-58,0
6741f26fbd047dce786f26fbb78c0bca:111-111,0
53a2e942f57836d4e337eebd9811178f:112-117,0
e52cc78d5a0e65943f9329ac78802752:144-145,0
e3c8a8aa4050f271c7f559e8f6dc6430:583-585,0
e3c8a8aa4050f271c7f559e8f6dc6430:586-586,0
04eea6710788e37e534951b540c41aa3:66-67,0
395988f74ce7785e75230c310e0bfdf8:386-389,0
395988f74ce7785e75230c310e0bfdf8:391-393,0
395988f74ce7785e75230c310e0bfdf8:395-397,0
395988f74ce7785e75230c310e0bfdf8:411-414,0
395988f74ce7785e75230c310e0bfdf8:423-426,0
395988f74ce7785e75230c310e0bfdf8:440-443,0
395988f74ce7785e75230c310e0bfdf8:539-542,0
395988f74ce7785e75230c310e0bfdf8:544-546,0
395988f74ce7785e75230c310e0bfdf8:548-550,0
395988f74ce7785e75230c310e0bfdf8:564-567,0
395988f74ce7785e75230c310e0bfdf8:593-596,0
67328d515f7d13b73e1583cf336384fd:8-10,0
67328d515f7d13b73e1583cf336384fd:11-14,0
